player_name_key,Name,NameASCII,Season,Team,PA,G,Position_category,source_dataset,WAR,wRC+,wOBA,ISO,BB%,K%,BABIP,Age,actual_war_next3_avg,pred_war_next3_avg_raw,pred_war_next3_avg
aaronbummer,Aaron Bummer,Aaron Bummer,2022,CHW,0,32,,batting,0.0,,,,,,,28,0.0,0.005300506592017307,0.005300506592017307
aaroncivale,Aaron Civale,Aaron Civale,2022,CLE,0,20,p,batting,0.0,,,,,,,27,0.0,0.013459099106272188,0.013459099106272188
aaronjudge,Aaron Judge,Aaron Judge,2022,NYY,696,157,rf,batting,11.0925474257163,206.154836783773,0.458196414172384,0.375438597,0.159482758,0.251436781,0.340236686,30,8.738020591482876,3.5211799974348468,4.271179997434847
aaronnola,Aaron Nola,Aaron Nola,2022,PHI,0,32,p,batting,0.0,,,,,,,29,0.0,-0.024897800162602124,-0.024897800162602124
abrahamtoro,Abraham Toro,Abraham Toro,2022,SEA,352,109,,batting,-0.617832340810236,62.8911971472643,0.246277019508883,0.138888889,0.0625,0.18465909,0.197628458,25,0.08910984849052868,0.7971397778417174,0.7971397778417174
adamfrazier,Adam Frazier,Adam Frazier,2022,SEA,602,156,2b,batting,1.26042744493174,82.197538837029,0.273623925657129,0.072088725,0.07641196,0.121262458,0.267515923,30,0.198068158008191,0.9285393866119902,0.9285393866119902
adamottavino,Adam Ottavino,Adam Ottavino,2022,NYM,0,66,p,batting,0.0,,,,,,,36,0.0,-0.021707526404113886,-0.021707526404113886
adolisgarcia,Adolis García,Adolis Garcia,2022,TEX,657,156,,batting,3.19522429761233,111.699190370383,0.324369200131365,0.206611571,0.0608828,0.278538812,0.309226932,29,1.7562301465605072,1.5839366917362754,1.821274551758166
adrianhouser,Adrian Houser,Adrian Houser,2022,MIL,0,22,p,batting,0.0,,,,,,,29,0.0,-0.026191044864506186,-0.026191044864506186
adrianmorejon,Adrian Morejon,Adrian Morejon,2022,SDP,0,26,,batting,0.0,,,,,,,23,0.0,0.057222109562129475,0.057222109562129475
ajminter,A.J. Minter,A.J. Minter,2022,ATL,0,75,p,batting,0.0,,,,,,,28,0.0,0.008737787209079584,0.008737787209079584
ajpuk,A.J. Puk,A.J. Puk,2022,OAK,0,62,,batting,0.0,,,,,,,27,0.0,0.01006017088611133,0.01006017088611133
alecbohm,Alec Bohm,Alec Bohm,2022,PHI,631,152,,batting,1.40709318414915,98.4615222671545,0.30977168102113,0.11774744,0.049128367,0.174326465,0.3192389,25,2.1835791856714533,1.4744277578492042,1.4744277578492042
alejandrokirk,Alejandro Kirk,Alejandro Kirk,2022,TOR,541,139,,batting,4.2788932221218,129.137764377937,0.347197119291727,0.129787235,0.116451016,0.107208872,0.298507462,23,3.23025148224591,2.3270573012847384,3.0770573012847384
alexbregman,Alex Bregman,Alex Bregman,2022,HOU,656,155,3b,batting,5.39796117384337,136.796928323256,0.357768542074975,0.1952554749999999,0.132621951,0.117378048,0.259825327,28,4.02086331122559,3.516039739319673,4.266039739319673
alexverdugo,Alex Verdugo,Alex Verdugo,2022,BOS,644,152,If,batting,1.07067770246842,102.291737496957,0.319227724524673,0.124789207,0.065217391,0.133540372,0.30876494,26,0.40539614741807223,1.3251051264955438,1.3251051264955438
alexvesia,Alex Vesia,Alex Vesia,2022,LAD,0,63,,batting,0.0,,,,,,,26,0.0,0.025731209480480022,0.025731209480480022
amedrosario,Amed Rosario,Amed Rosario,2022,CLE,670,153,ss,batting,3.05066190493547,103.656256844672,0.31125066031271,0.120879121,0.037313432,0.165671641,0.325626204,26,0.347634535791971,2.10099791855676,2.3383357785786507
andresgimenez,Andrés Giménez,Andres Gimenez,2022,CLE,557,146,,batting,6.11738344803413,140.951693722784,0.364078628886593,0.16904277,0.061041292,0.201077199,0.353424657,23,2.530875465840247,3.270513431632853,4.020513431632853
andresmunoz,Andrés Muñoz,Andres Munoz,2022,SEA,0,64,,batting,0.0,,,,,,,23,0.0,0.0623609786321726,0.0623609786321726
andrewbenintendi,Andrew Benintendi,Andrew Benintendi,2022,- - -,521,126,If,batting,2.00256966401433,120.683802596549,0.341870864538046,0.095444686,0.099808061,0.147792706,0.3515625,27,-0.10340285384221033,1.5591543802823513,1.5591543802823513
andrewchafin,Andrew Chafin,Andrew Chafin,2022,DET,0,64,p,batting,0.0,,,,,,,32,0.0,-0.034360554451735914,-0.034360554451735914
andrewheaney,Andrew Heaney,Andrew Heaney,2022,LAD,0,16,p,batting,0.0,,,,,,,31,0.0,-0.02672030449453644,-0.02672030449453644
andrewkittredge,Andrew Kittredge,Andrew Kittredge,2022,TBR,0,17,p,batting,0.0,,,,,,,32,0.0,-0.017909712164020486,-0.017909712164020486
andrewknizner,Andrew Knizner,Andrew Knizner,2022,STL,293,97,,batting,-0.0444931926933507,76.6456499874295,0.274839483303567,0.084615385,0.088737201,0.211604095,0.268041237,27,-0.12155026075046675,0.41494412921230006,0.41494412921230006
andrewmccutchen,Andrew McCutchen,Andrew McCutchen,2022,MIL,580,134,dh,batting,0.587017376934477,98.1626878790649,0.309014726796916,0.147572816,0.098275862,0.213793103,0.277777777,35,0.5672849123362403,0.8860830611680819,0.8860830611680819
anthonybanda,Anthony Banda,Anthony Banda,2022,- - -,0,32,,batting,0.0,,,,,,,28,0.0,0.003098545968491573,0.003098545968491573
anthonymisiewicz,Anthony Misiewicz,Anthony Misiewicz,2022,- - -,0,32,,batting,0.0,,,,,,,27,0.0,0.004559395987861814,0.004559395987861814
anthonysantander,Anthony Santander,Anthony Santander,2022,BAL,647,152,rf,batting,2.3230084483533,121.27555815689,0.335601162338405,0.2142857139999999,0.085007727,0.188562596,0.247641509,27,1.5965251202980781,1.5695438515546216,1.5695438515546216
antoniosenzatela,Antonio Senzatela,Antonio Senzatela,2022,COL,0,19,,batting,0.0,,,,,,,27,0.0,-0.021094239007664606,-0.021094239007664606
aroldischapman,Aroldis Chapman,Aroldis Chapman,2022,NYY,0,43,p,batting,0.0,,,,,,,34,0.0,-0.021572053942820135,-0.021572053942820135
austinbarnes,Austin Barnes,Austin Barnes,2022,LAD,212,62,,batting,1.337395963207,104.221193412995,0.314828657252448,0.167597766,0.12735849,0.174528301,0.222222222,32,-0.15484731133167498,0.8482890489826854,0.8482890489826854
austingomber,Austin Gomber,Austin Gomber,2022,COL,0,33,,batting,0.0,,,,,,,28,0.0,-0.005699060076010065,-0.005699060076010065
austinhays,Austin Hays,Austin Hays,2022,BAL,582,145,If,batting,1.78713801658684,105.988881385447,0.313948001853379,0.162616823,0.058419243,0.195876288,0.289215686,26,1.3631109211015335,1.6206992804719542,1.6206992804719542
austinhedges,Austin Hedges,Austin Hedges,2022,CLE,338,105,c,batting,-0.031810687445202,42.7484709097954,0.224976443662876,0.085034013,0.073964497,0.23076923,0.193396226,29,0.8800693187751136,0.3677613330565864,0.3677613330565864
austinriley,Austin Riley,Austin Riley,2022,ATL,693,159,,batting,5.8549523421413,143.555050580238,0.376607427448896,0.255284553,0.082251082,0.242424242,0.314769975,25,3.0707365526882797,3.9491066344432273,4.699106634443227
austinslater,Austin Slater,Austin Slater,2022,SFG,325,125,of,batting,2.10723472890783,124.456098254487,0.344026371515714,0.144404332,0.123076923,0.273846153,0.360655737,29,0.1713539072299671,1.0804692868173356,1.0804692868173356
austinwynns,Austin Wynns,Austin Wynns,2022,SFG,177,66,,batting,0.595595966730317,92.7111221672954,0.297600267624313,0.098765432,0.056497175,0.2146892649999999,0.319672131,31,0.48681676941629864,0.2623151014720404,0.2623151014720404
billymckinney,Billy McKinney,Billy McKinney,2022,OAK,57,23,,batting,-0.54074831103257,-11.8694199943902,0.143772548862866,0.076923077,0.070175438,0.280701754,0.111111111,27,-0.01536156255859819,0.41429085676143385,0.41429085676143385
blakesnell,Blake Snell,Blake Snell,2022,SDP,0,25,p,batting,0.0,,,,,,,29,0.0,-0.01871775248462426,-0.01871775248462426
