player_name_key,Name,NameASCII,Season,Team,WAR,IP,GS,G,FIP,K%,HR/9,Age,career_year,starter_flag,full_starter_flag,reliever_flag,workhorse_IP_ge150,elite_WAR_ge3,strong_FIP_le3_5,high_Kpct_ge25,pitcher_persistence_score,actual_WAR_next3_avg,pred_WAR_next3_avg
aaronbummer,Aaron Bummer,Aaron Bummer,2022,CHW,0.306724936,26.2,0,32,3.187431025,0.25641026,0.675000209,28,6.0,0,0,1,0,0,1,1,7,0.7558736899999999,0.255095223282435
aaroncivale,Aaron Civale,Aaron Civale,2022,CLE,1.252602458,97.0,20,20,3.865008321,0.24078624,1.298969072,27,4.0,1,1,0,0,0,0,0,1,1.4587440736666666,1.418782788205177
aaronnola,Aaron Nola,Aaron Nola,2022,PHI,6.296249866,205.0,32,32,2.580723685,0.29120198,0.834146341,29,8.0,1,1,0,1,1,1,1,13,2.624369184,2.94930958106622
adamottavino,Adam Ottavino,Adam Ottavino,2022,NYM,1.139841676,65.2,0,66,2.853547713,0.30620155,0.822335153,36,13.0,0,0,1,0,0,1,1,6,0.12059960756666667,0.8296298654042872
adrianhouser,Adrian Houser,Adrian Houser,2022,MIL,1.034908723,102.2,21,22,4.21308038,0.15164835,0.701298719,29,8.0,1,1,0,0,0,0,0,1,1.289817923,1.0462162420942456
adrianmorejon,Adrian Morejon,Adrian Morejon,2022,SDP,0.233132899,34.0,0,26,3.87713697,0.19858156,1.058823648,23,4.0,0,0,1,0,0,0,0,1,1.1267862497666667,0.5433745478406354
ajminter,A.J. Minter,A.J. Minter,2022,ATL,2.037213326,70.0,0,75,2.126716609,0.34686347,0.642857213,28,6.0,0,0,1,0,0,1,1,6,0.5684773190666667,0.6448837678868208
ajpuk,A.J. Puk,A.J. Puk,2022,OAK,0.267320901,66.1,0,62,3.685295433,0.27046263,0.949748926,27,4.0,0,0,1,0,0,0,1,4,0.87626742094,0.80169457973664
alexvesia,Alex Vesia,Alex Vesia,2022,LAD,1.506102681,54.1,0,63,2.118565738,0.34801762,0.331288421,26,3.0,0,0,1,0,0,1,1,3,0.9389453529999999,0.6271599605615895
andresmunoz,Andrés Muñoz,Andres Munoz,2022,SEA,1.854602337,65.0,0,64,2.035507798,0.38709677,0.692307774,23,4.0,0,0,1,0,0,1,1,5,1.2470759153333333,1.2376749617310083
andrewchafin,Andrew Chafin,Andrew Chafin,2022,DET,0.922680855,57.1,0,64,3.060105409,0.27572016,0.784883895,32,9.0,0,0,1,0,0,1,1,6,0.42614374566666663,0.5272503908636466
andrewheaney,Andrew Heaney,Andrew Heaney,2022,LAD,1.138494253,72.2,14,16,3.745458547,0.35483871,1.733945015,31,9.0,1,0,0,0,0,0,1,4,1.0196770876666668,1.360022559262483
andrewkittredge,Andrew Kittredge,Andrew Kittredge,2022,TBR,-0.138537899,20.0,0,17,4.612431145,0.18666667,1.800000172,32,6.0,0,0,1,0,0,0,0,4,0.4220055143333334,0.38890408918707786
anthonybanda,Anthony Banda,Anthony Banda,2022,- - -,-0.00300429552,26.2,1,32,4.499931387,0.22222222,1.350000375,28,6.0,0,0,1,0,0,0,0,1,0.18855677413333335,0.050469915748734405
